ID;Наименование;МКБ-10;Возрастная категория;Разработчик;Статус одобрения НПС;Дата размещения;Статус применения
286_3;Сахарный диабет 1 типа у взрослых;E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9;Взрослые;Российская ассоциация эндокринологов;Да;02.03.2026;Применяется
340_2;Синдром дыхательного расстройства у новорожденного;P22.0;Дети;Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ );Да;13.02.2026;Применяется
1027_1;Аутоиммунная гемолитическая анемия;D59.1, D59.8, D59.9;Взрослые, дети;"Российское общество детских онкологов и гематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";Да;03.02.2026;Применяется
1026_1;Синдром Мэллори-Вейсса (желудочно-пищеводный разрывно-геморрагический синдром);K22.6;Взрослые;"Общероссийская общественная организация ""Российское общество хирургов"", Ассоциация ""Эндоскопическое общество ""РЭндО""";Да;02.02.2026;Применяется
1025_1;Отравление сердечными гликозидами и препаратами аналогичного действия;T46.0;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов"", Общероссийская общественная организация «Российское общество скорой медицинской помощи»";Да;30.01.2026;Применяется
743_2;Острые отравления опиоидными наркотическими веществами;T40.0, T40.1, T40.2, T40.3;Взрослые, дети;"Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов"", Общероссийская общественная организация «Российское общество скорой медицинской помощи»";Да;29.01.2026;Применяется
222_2;Красная волчанка;L93;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";Да;28.01.2026;Применяется
1024_1;Коронавирусная инфекция COVID-19;U07.1, U07.2;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;28.01.2026;Применяется
1023_1;Коклюш у детей;A37;Дети;"Межрегиональная общественная организация ""Ассоциация врачей-инфекционистов Санкт-Петербурга и Ленинградской области"", Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням""";Да;26.01.2026;Применяется
581_2;Варикоцеле у детей;I86.1;Дети;"Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Общероссийская общественная организация ""Российское общество детских урологов-андрологов""";Да;26.01.2026;Применяется
1022_1;Синдром прорезывания зубов (временных);K00.7, K09.0;Дети;"Союз педиатров России, Ассоциация общественных объединений ""Стоматологическая Ассоциация России""";Да;23.01.2026;Применяется
732_2;Очаговая травма головного мозга;S06.1, S06.2, S06.3, S06.4, S06.5, S06.6, S06.7;Взрослые;Ассоциация нейрохирургов России;Да;22.01.2026;Применяется
1021_1;Кариес зубов;K02;Взрослые;"Ассоциация общественных объединений ""Стоматологическая Ассоциация России""";Да;22.01.2026;Применяется
30_5;Злокачественное новообразование бронхов и легкого;C34;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»;Да;22.01.2026;Применяется
1020_1;Менингококковая инфекция;A39;Взрослые;Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;20.01.2026;Применяется
516_3;Хронический вирусный гепатит С ;B18.2;Взрослые;Российская Гастроэнтерологическая Ассоциация, Российское общество по изучению печени, Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;19.01.2026;Применяется
107_2;Ретинопатия недоношенных;H35.1, H35.2;Дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";Да;19.01.2026;Применяется
1019_1;Другие гепатиты;K73.1, K73.2, K73.8, K73.9, K75.2, K75.9, K76.8, K76.9, K77.8;Взрослые, дети;"Союз педиатров России, Российская Гастроэнтерологическая Ассоциация, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Российское общество по изучению печени, Российское общество профилактики неинфекционных заболеваний, Российское общество детских гастроэнтерологов, гепатологов и нутрициологов";Да;19.01.2026;Применяется
1018_1;Плоскостопие у детей;M21.0, M21.4, Q66.5, Q66.6, Q66.8, Q74.8;Дети;Ассоциация травматологов-ортопедов России;Да;16.01.2026;Применяется
16_4;Туберкулез у взрослых;A15, A16, A17, A18, A19;Взрослые;Российское Общество Фтизиатров, Национальная ассоциация некоммерческих организаций фтизиатров «Ассоциация фтизиатров»;Да;16.01.2026;Применяется
232_2;Пиодермии;L00, L01, L02, L08.0, L08.8, L08.9, L73.8, L73.9, L74.0, L74.1, L74.3, L74.8, P39.4;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";Да;16.01.2026;Применяется
1017_1;Чесотка;B86;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";Да;15.01.2026;Применяется
734_2;Сотрясение головного мозга;S06.0;Взрослые;Ассоциация нейрохирургов России;Да;15.01.2026;Применяется
1016_1;Критическая ишемия нижних конечностей (КИНК) ;E13.5, E14.5, I70.0, I70.8, I73.8, I79.2, I79.8;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Российское общество ангиологов и сосудистых хирургов, Общероссийская общественная организация ""Российское общество хирургов"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению";Да;14.01.2026;Применяется
54_3;Инфекционный эндокардит и инфекция внутрисердечных устройств;I33, I38, I39, T85.7;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и кардиостимуляции, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Всероссийское научно-практическое общество эпидемиологов, микробиологов и паразитологов, Российское общество ядерной медицины";Да;14.01.2026;Применяется
832_2;Закрытые повреждения мягких тканей конечностей;S40.0, S46.1, S46.2, S46.7, S46.8, S46.9, S50.0, S56.7, S56.8, S60.0, S60.1, S60.2, S66.6, S66.7, S66.8, S66.9, S70.0, S70.1, S73.1, S76.1, S76.3, S76.4, S76.7, S79.7, S79.8, S80.0, S80.1, S80.7, S80.8, S80.9, S86.0, S86.1, S86.2, S86.3, S86.7, S86.8, S86.9, S90.0, S90.1, S90.2, S90.3, S93.2, S93.4, S93.6, S96.1, S96.7, S96.9, T06.4, T11.5, T13.5, T14.6, T93.3, T93.5;Взрослые, дети;Ассоциация травматологов-ортопедов России;Да;13.01.2026;Применяется
1014_1; Острые заболевания и травмы органов мошонки и полового члена у детей;N44, N45.0, N45.9, N47, N48.1, N48.3, N48.6, N49.2, N49.8, N49.9, N51.1, N51.2, S30.2, S31.2, S31.3, S31.5;Дети;"Общероссийская общественная организация ""Российская ассоциация детских хирургов""";Да;12.01.2026;Применяется
1015_1;"Кариес зубов	у детей";K02.0, K02.1, K02.3;Дети;"Ассоциация общественных объединений ""Стоматологическая Ассоциация России""";Да;12.01.2026;Применяется
1013_1;Приобретенный кератоз (кератодермия) ладонно-подошвенный;L85.1, L85.2, L85.9;Взрослые, дети;"Союз педиатров России, Общероссийская общественная организация ""Национальный альянс дерматовенерологов и косметологов""";Да;12.01.2026;Применяется
493_3;Черепно-мозговая травма у детей;S06;Дети;Ассоциация нейрохирургов России, Всероссийское Общество по детской нейрохирургии;Да;12.01.2026;Применяется
1010_1;Кератит;H16.1, H16.2, H16.3, H16.8, H16.9, H17.1, H17.8, H18.2, H18.3, H18.8, H19.1;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";Да;12.01.2026;Применяется
1011_1;Избыточная крайняя плоть, фимоз и парафимоз;N47;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";Да;30.12.2025;Применяется
1012_1;Ретинальные артериальные окклюзии;H34.0, H34.1, H34.2;Взрослые;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";Да;30.12.2025;Применяется
1005_1;Системный склероз;M34.0, M34.8, M34.9;Дети;Ассоциация детских ревматологов;Да;30.12.2025;Применяется
1009_1;Цитомегаловирусная инфекция (ЦМВИ) у взрослых;B25;Взрослые;Российское общество акушеров-гинекологов, Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ);Да;30.12.2025;Применяется
1008_1;Дилатационная кардиомиопатия;I42.0, I42.6, I42.7, I42.8, I42.9, I43.0, I43.1, I43.2, I43.8, O90.3;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация ""Общество специалистов по сердечной недостаточности"", Общероссийская общественная организация ""Российское научное медицинское общество терапевтов""";Да;30.12.2025;Применяется
87_5;Остеопороз;M81.0, M81.1, M81.2, M81.3, M81.4, M81.5, M81.8, M81.9;Взрослые;"Российская ассоциация эндокринологов, Ассоциация ревматологов России, Ассоциация травматологов-ортопедов России, Ассоциация гинекологов – эндокринологов России, Общественная организация ""Российская ассоциация по остеопорозу"", Общероссийская общественная организация «Российская ассоциация геронтологов и гериатров»";Да;30.12.2025;Применяется
1006_1;Острая ишемия конечностей;I74.0, I74.1, I74.2, I74.3, I74.5, I74.8, I74.9, I77.0, I77.8, S55.1;Взрослые, дети;"Ассоциация сердечно-сосудистых хирургов России, Ассоциация флебологов России, Российское общество ангиологов и сосудистых хирургов, Общероссийская общественная организация ""Российское общество хирургов"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению";Да;29.12.2025;Применяется
1007_1;Воспалительные болезни органов мошонки;N45.0, N45.9, N49.2;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";Да;29.12.2025;Применяется
1004_1;Талассемия;D56.0, D56.1, D56.2, D56.3, D56.4, D56.8, D56.9;Взрослые, дети;"Российское общество детских онкологов и гематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";Да;26.12.2025;Применяется
1003_1;Аскаридоз;B77;Взрослые, дети;"Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням"", Национальная ассоциация специалистов по инфекционным болезням имени академика В. И. Покровского (НАСИБ)";Да;26.12.2025;Применяется
736_2;Саркоидоз;D86.0, D86.1, D86.2, D86.3, D86.8, D86.9;Взрослые, дети;"Российское Общество Фтизиатров, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""  , Российское респираторное общество, Общероссийская общественная организация Педиатрическое респираторное общество";Да;26.12.2025;Применяется
998_1;Токсические и метаболические поражения нервной системы;E51.2, G31.2, G62.0, G62.1, G62.2, G63.2, G63.3, G63.8, G92;Взрослые;"Российская ассоциация эндокринологов, Всероссийское общество неврологов, Общественная организация ""Российское общество психиатров"", Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная благотворительная общественная организация ""Ассоциация клинических токсикологов"", Ассоциация специалистов по клинической нейрофизиологии";Да;26.12.2025;Применяется
523_3;Геморрагический инсульт;I60, I61, I62, Q28.2;Взрослые;"Ассоциация нейрохирургов России, Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Общероссийская общественная организация ""Федерация анестезиологов и реаниматологов"", Национальное общество нейрорадиологов, Ассоциация эндоваскулярных нейрохирургов имени академика Ф.А. Сербиненко";Да;26.12.2025;Применяется
1002_1;Пиодермия гангренозная;L88;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";Да;25.12.2025;Применяется
1001_1;Комбинированные врожденные и приобретенные дефекты и деформации челюстно-лицевой локализации;M19.0, M19.1, M19.2, M19.8;Дети;"Ассоциация общественных объединений ""Стоматологическая Ассоциация России"", ООО «Общество специалистов в области челюстно-лицевой хирургии»";Да;25.12.2025;Применяется
999_1;Приобретенные деформации стопы;M20.1, M20.2, M20.3, M20.4, M20.5, M20.6, M21.3, M21.4, M21.5, M21.6, M21.9;Взрослые;Ассоциация травматологов-ортопедов России;Да;25.12.2025;Применяется
1000_1;Эозинофильный эзофагит;K20;Взрослые, дети;"Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России, Российская Гастроэнтерологическая Ассоциация, Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Общероссийская общественная организация ""Российское общество патологоанатомов"", Ассоциация ""Эндоскопическое общество ""РЭндО"", Российское общество профилактики неинфекционных заболеваний, Ассоциация детских аллергологов и иммунологов России";Да;25.12.2025;Применяется
997_1;Воспалительные заболевания челюстей. Одонтогенный остеомиелит челюсти;K10.2, M86;Дети;ООО «Общество специалистов в области челюстно-лицевой хирургии»;Да;24.12.2025;Применяется
995_1;Вирусные менингиты у детей;A87.0, A87.1, A87.2, A87.8, A87.9, B00.3, B01.0, B02.1, B05.1, B26.1, G02.0, G03.9;Дети;"Межрегиональная общественная организация ""Ассоциация врачей-инфекционистов Санкт-Петербурга и Ленинградской области"", Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням""";Да;24.12.2025;Применяется
